feature_set,label,estimator,calibration,auc,auc_pr,log_loss,brier,brier_skill,ece,cal_slope,cal_intercept,std,p5,p25,p50,p75,p95,range_5_95,player_discrimination,stability,icc,stability_temporal,topk_overlap_temporal
xcrossot,success,logreg,sigmoid,0.822846617094613,0.6766065304111271,0.4836299504226674,0.1625628956661524,0.2846317134288665,0.01857793799989919,1.0514241477346387,0.01884018457194399,0.24951143717594035,0.013120221403815325,0.12556700152522604,0.3258201731960273,0.5424158134514316,0.7874306926305688,0.7743104712267534,0.05341391278668926,0.22249377913002036,0.01960804326104816,0.15883031018449242,0.2
xcrossot,shot_in_window,xgboost,isotonic,0.7663902378616441,0.5460695826348504,0.5103860177258844,0.1718954425964856,0.17915224591910672,0.01110921199470842,1.0679326387213754,0.03617516830576352,0.1854472885978423,0.010826122015714645,0.14778641362984976,0.3003097325563431,0.446542094151179,0.5962902704874674,0.5854641484717528,0.04251958065409983,0.2616118287972246,0.026467078364745694,0.2314440731319379,0.26666666666666666
xcrossot,shot_in_window,xgboost,sigmoid,0.7674837690752896,0.5498666010396683,0.5151075902127753,0.17266240105080924,0.17548980952640503,0.029363464896011954,1.121596772767031,0.08040080550665342,0.18072456098520107,0.08528088628587426,0.14078569377397968,0.2562355302432791,0.43348287093717697,0.641577270984298,0.5562963846984237,0.04091561299469916,0.18465038433615422,0.024302403904067134,0.2222305351887875,0.3333333333333333
xcrossot,shot_in_window,adaboost,isotonic,0.7265362617254865,0.4832057360935837,0.5340646573330838,0.18222657325130034,0.12981827134115387,0.010749952146826535,1.0215580268048794,0.009274587313323802,0.162016196281048,0.010957561501519162,0.1776613069931486,0.3168725447933592,0.4274887201716471,0.5396695778289246,0.5287120163274054,0.04069568920766899,0.41580904561601856,0.03752569438356266,0.3249067562250265,0.06666666666666667
xcrossot,shot_in_window,adaboost,sigmoid,0.7266847356988168,0.4835519256573131,0.5346702783763436,0.18229889467906632,0.129472916742702,0.007513468985079971,1.0692439284771584,0.04276090978487902,0.15901710660847276,0.02165590985556113,0.17104481048480888,0.3088113066848433,0.44012969216476433,0.5320448952300325,0.5103889853744714,0.039876120639981694,0.4100204498977505,0.03733706399051931,0.3444422276533604,0.26666666666666666
xcrossot,shot_in_window,catboost,isotonic,0.7631854309121306,0.5381825025845032,0.5160682740716097,0.17288538945382673,0.17442497891171183,0.0074979565723841575,1.0101153253295467,0.0010754001147559133,0.18825270219404885,0.009732360097323601,0.14577458896975742,0.2974315871395289,0.4465410305091757,0.6060840111445648,0.5963516510472412,0.04547289401664814,0.3096580045555057,0.032380174775759996,0.28326987768855194,0.26666666666666666
xcrossot,shot_in_window,catboost,sigmoid,0.7638565844030849,0.539357839978742,0.5165889988384234,0.17355539916277662,0.17122549929493713,0.022018881824255866,1.0753723682546623,0.045376631820540754,0.18450292630982212,0.07367184647063148,0.13852379365402984,0.26022491012517696,0.4363674384998033,0.6435597905260965,0.569887944055465,0.04421124825516018,0.2542548533869797,0.030406776003675924,0.26711224167456393,0.3333333333333333
xcrossot,shot_in_window,lightgbm,isotonic,0.7673728382319063,0.5421304120198354,0.5100472924996827,0.17187339767643475,0.17925751644192733,0.012933165371996165,1.1053627617271,0.054709264202544475,0.18217839565641303,0.006711409395973154,0.1531447052701926,0.30201747215410196,0.4464450497936645,0.58933811338226,0.5826267039862869,0.042205009740780015,0.26764981351245004,0.027874872057785525,0.27798005996419883,0.4
xcrossot,shot_in_window,lightgbm,sigmoid,0.7684021748959317,0.5481048527429035,0.5138946804124495,0.17226503630512988,0.17738733487155056,0.023920437038501805,1.1614721371253691,0.10640648752855279,0.17695044132469304,0.08274704575078856,0.14292490805667657,0.2640587757205413,0.4353158195038586,0.6276000208847033,0.5448529751339148,0.04055819371850002,0.23187911838218583,0.025996492987546974,0.2604452424892347,0.4
xcrossot,shot_in_window,histgb,isotonic,0.7693040680432807,0.5506107141437506,0.505991892139259,0.17125160596428826,0.18222674193570432,0.014413388453826635,1.131494175940325,0.06894774256876948,0.18224164344410582,0.009489363682912082,0.15299145299145298,0.3029665483733725,0.44791283208637206,0.583434919984808,0.5739455563018959,0.04222668194022997,0.24788989198685446,0.027906866948527318,0.2653582057292965,0.3333333333333333
