estimator,feature_set,label,calibration,auc,auc_lo,auc_hi,stability,stability_lo,stability_hi
catboost,xcrossot,shot,isotonic,0.7637940077769018,0.7549994859118254,0.772826961424641,0.29496345065700147,0.20398454342416633,0.3988189352752425
catboost,xcrossot,shot,sigmoid,0.7645615558698404,0.7557321872355933,0.7735612808092633,0.28537998570169754,0.20016549730936983,0.3914036998243193
lightgbm,xcrossot,shot,isotonic,0.767579099534937,0.7586618812209501,0.7764797613272881,0.25625273635149437,0.15642897124267768,0.3704432473772591
lightgbm,xcrossot,shot,sigmoid,0.7686395414904483,0.7599821843703054,0.7773483808556487,0.23563657926967818,0.13796871276483727,0.3515527236049457
histgb,xcrossot,shot,isotonic,0.7696226042260392,0.7607402169219176,0.7786902096481988,0.25864548522785846,0.15808435998470416,0.3739016492925666
histgb,xcrossot,shot,sigmoid,0.7698501080959133,0.7609418226251147,0.7789270064917199,0.26037873875671275,0.165904298357912,0.3662659124035003
random_forest,xcrossot,shot,isotonic,0.7404173851602945,0.7320441734393198,0.7498200093178434,0.4417856806379925,0.34767188443868074,0.5373155906916943
random_forest,xcrossot,shot,sigmoid,0.7409073595616393,0.732355647896628,0.7499034234249464,0.45539954888301437,0.36686735553449606,0.5563194479081806
logreg,xcrossot,shot,isotonic,0.7434362486758876,0.7347737942252283,0.7526228472780975,0.2588103590647359,0.15385680083794703,0.3570980265017375
logreg,xcrossot,shot,sigmoid,0.7444473531582229,0.7357811198761618,0.7535937455921596,0.2692902389146591,0.1658889193697663,0.3754367078435611
tabpfn,xcrossot,shot,isotonic,0.7779128306935242,0.7687687835392356,0.7866096355023044,0.30874634922218347,0.22278875089364392,0.42195108096275247
tabpfn,xcrossot,shot,sigmoid,0.7784815956654627,0.7693175044161735,0.7872472750087108,0.30351056578050445,0.2101121696288538,0.40301116431409717
